Date,Name,Type,Details
,,,,
,,,,
27-Apr,Saturday,Orthodox Holy Saturday,Orthodox,
28-Apr,Sunday,Orthodox Easter,Orthodox,
,,,,
29-Apr,Monday,Orthodox Easter Monday,Orthodox,
,,,,
29-Apr,Monday,Confederate Memorial Day,State holiday,Mississippi
,,,,
,,,,
1-May,Wednesday,Yom HaShoah,Jewish commemoration,
1-May,Wednesday,Law Day,Observance,
1-May,Wednesday,Loyalty Day,Observance,
1-May,Wednesday,Lei Day,Local observance,Hawaii
,,,,
2-May,Thursday,National Day of Prayer,Observance,
,,,,
3-May,Friday,Kentucky Oaks,Sporting event,
4-May,Saturday,Kent State Shootings Remembrance,Local observance,Ohio
4-May,Saturday,Kentucky Derby,Sporting event,
4-May,Saturday,Rhode Island Independence Day,Local observance,Rhode Island
4-May,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance,
5-May,Sunday,Cinco de Mayo,Observance,
6-May,Monday,Ramadan Starts,Muslim,
6-May,Monday,National Nurses Day,Observance,
,,,,
,,,,
8-May,Wednesday,Truman Day,State holiday,Missouri
9-May,Thursday,Yom Ha'atzmaut,Jewish holiday,
10-May,Friday,Confederate Memorial Day,Local observance,North Carolina
10-May,Friday,Confederate Memorial Day,State holiday,South Carolina
10-May,Friday,Military Spouse Appreciation Day,Observance,
,,,,
,,,,
12-May,Sunday,Mother's Day,Observance,
,,,,
15-May,Wednesday,Peace Officers Memorial Day,Observance,
,,,,
17-May,Friday,National Defense Transportation Day,Observance,
18-May,Saturday,Armed Forces Day,Observance,
18-May,Saturday,Preakness Stakes,Sporting event,
,,,,
,,,,
,,,,
,,,,
22-May,Wednesday,Emergency Medical Services for Children Day,Observance,
22-May,Wednesday,National Maritime Day,Observance,
22-May,Wednesday,Harvey Milk Day,Local observance,California
23-May,Thursday,Lag BaOmer,Jewish holiday,
,,,,
,,,,
25-May,Saturday,National Missing Children's Day,Observance,
27-May,Monday,Memorial Day,Federal Holiday,
27-May,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
,,,,
30-May,Thursday,Ascension Day,Christian,
,,,,
,,,,
1-Jun,Saturday,Lailat al-Qadr,Muslim,
,,,,
1-Jun,Saturday,Statehood Day,Local observance,"Kentucky, Tennessee"
3-Jun,Monday,Jefferson Davis' Birthday,Local observance,Florida
3-Jun,Monday,Jefferson Davis' Birthday,State holiday,Alabama
4-Jun,Tuesday,Eid al-Fitr,Muslim,
,,,,
,,,,
6-Jun,Thursday,D-Day,Observance,
,,,,
8-Jun,Saturday,Belmont Stakes,Sporting event,
9-Jun,Sunday,Pentecost,Christian,
9-Jun,Sunday,Shavuot,Jewish holiday,
10-Jun,Monday,Whit Monday,Christian,
11-Jun,Tuesday,Kamehameha Day,State holiday,Hawaii
,,,,
,,,,
,,,,
14-Jun,Friday,Army Birthday,Observance,
14-Jun,Friday,Flag Day,Observance,
,,,,
16-Jun,Sunday,Trinity Sunday,Christian,
,,,,
16-Jun,Sunday,Father's Day,Observance,
16-Jun,Sunday,Bunker Hill Day,Local observance,Massachusetts
,,,,
,,,,
19-Jun,Wednesday,Emancipation Day,State holiday,Texas
19-Jun,Wednesday,Juneteenth,Local observance,"All except HI, MT, ND, SD, TX"
,,,,
20-Jun,Thursday,West Virginia Day,State holiday,West Virginia
20-Jun,Thursday,American Eagle Day,Observance,
21-Jun,Friday,June Solstice,Season,
,,,,
23-Jun,Sunday,Corpus Christi,Christian,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
4-Jul,Thursday,Independence Day,Federal Holiday,
5-Jul,Friday,Independence Day Holiday,State Government Holiday,"Maryland, West Virginia"
,,,,
,,,,
13-Jul,Saturday,Nathan Bedford Forrest Day,Local observance,Tennessee
14-Jul,Sunday,Bastille Day,Observance,
,,,,
,,,,
24-Jul,Wednesday,Pioneer Day,State holiday,Utah
27-Jul,Saturday,National Korean War Veterans Armistice Day,Observance,
,,,,
28-Jul,Sunday,Parents' Day,Observance,
,,,,
,,,,
,,,,
1-Aug,Thursday,Colorado Day,Local observance,Colorado
4-Aug,Sunday,Coast Guard Birthday,Observance,
7-Aug,Wednesday,Purple Heart Day,Observance,
,,,,
11-Aug,Sunday,Tisha B'Av,Jewish holiday,
11-Aug,Sunday,Eid al-Adha,Muslim,
,,,,
12-Aug,Monday,Victory Day,State holiday,Rhode Island
14-Aug,Wednesday,Raksha Bandhan,Hindu Holiday,
